Date,Weekday,Plan
Week 0
Aug-18,Mon,FDOC
Aug-19,Tue,Day 00
Aug-21,Thu,Day 01
Week 1
Aug-26,Tue,Day 02
Aug-28,Thu,Day 03
Week 2
Sep-01,Mon,University Holiday
Sep-02,Tue,Day 04
Sep-04,Thu,Day 05
Week 3
Sep-09,Tue,Day 06
Sep-11,Thu,Day 07
Week 4
Sep-16,Tue,Day 08
Sep-18,Thu,Day 09
Week 5
Sep-23,Tue,Day 10
Sep-25,Thu,Day 11
Week 6
Sep-30,Tue,Day 12
Oct-02,Thu,Day 13
Week 7
Oct-07,Tue,Day 14
Oct-09,Thu,Day 15
Week 8
Oct-14,Tue,Day 16
Oct-16,Thu,Day 17
Week 9
Oct-21,Tue,Day 18
Oct-23,Thu,Day 19
Oct-25,Sat,Drop Period Ends
Week 10
Oct-28,Tue,Day 20
Oct-30,Thu,Day 21
Week 11
Nov-04,Tue,Day 22
Nov-06,Thu,Day 23
Week 12
Nov-11,Tue,Day 24
Nov-13,Thu,Day 25
Week 13
Nov-17,Mon,Widthdraw Period Ends
Nov-18,Tue,Day 26
Nov-20,Thu,Day 27
Week 14
Nov-25,Tue,Day 28
Nov-27,Thu,Day 29
Week 15
Dec-02,Tue,Day 30
Dec-03,Wed,LDOC
Dec-06,Sat,Final
